449,"lick","word","action_words",0,0.02,0.03,0.05,0.07,0.15,0.18,0.25,0.29,0.38,0.42,0.5,0.62,0.61,0.7
450,"like","word","action_words",0.01,0.01,0.05,0.1,0.12,0.14,0.28,0.35,0.41,0.47,0.57,0.64,0.76,0.7,0.86
451,"listen","word","action_words",0,0.01,0.04,0.06,0.08,0.11,0.16,0.26,0.27,0.34,0.39,0.44,0.58,0.59,0.65
452,"look","word","action_words",0.06,0.07,0.15,0.2,0.19,0.25,0.38,0.47,0.61,0.64,0.73,0.72,0.86,0.83,0.87
453,"love","word","action_words",0.09,0.14,0.2,0.3,0.32,0.39,0.42,0.58,0.62,0.69,0.73,0.73,0.88,0.86,0.9
454,"make","word","action_words",0,0,0.02,0.06,0.08,0.12,0.22,0.28,0.34,0.4,0.52,0.54,0.73,0.66,0.79
455,"open","word","action_words",0.12,0.14,0.28,0.38,0.39,0.44,0.62,0.64,0.71,0.77,0.82,0.84,0.92,0.87,0.93
456,"paint","word","action_words",0.01,0.03,0.06,0.08,0.13,0.19,0.26,0.32,0.39,0.44,0.5,0.57,0.73,0.68,0.8
457,"pick","word","action_words",0.01,0,0.04,0.08,0.07,0.09,0.13,0.21,0.24,0.32,0.44,0.38,0.58,0.56,0.65
458,"play","word","action_words",0.06,0.09,0.19,0.27,0.32,0.37,0.52,0.62,0.66,0.72,0.84,0.8,0.9,0.88,0.95
459,"pour","word","action_words",0.01,0,0.03,0.06,0.07,0.11,0.18,0.2,0.25,0.35,0.38,0.5,0.6,0.55,0.66
460,"pretend","word","action_words",0,0,0.01,0.02,0.03,0.02,0.06,0.12,0.14,0.17,0.25,0.24,0.42,0.4,0.5
461,"pull","word","action_words",0.03,0.04,0.06,0.12,0.13,0.2,0.28,0.34,0.39,0.48,0.57,0.54,0.73,0.67,0.76
462,"push","word","action_words",0.05,0.05,0.12,0.17,0.24,0.27,0.35,0.46,0.51,0.59,0.67,0.69,0.81,0.78,0.84
463,"put","word","action_words",0.01,0.02,0.05,0.09,0.14,0.14,0.22,0.29,0.35,0.43,0.54,0.48,0.69,0.63,0.73
464,"read","word","action_words",0.09,0.16,0.21,0.28,0.31,0.37,0.55,0.61,0.68,0.73,0.78,0.77,0.92,0.82,0.92
465,"ride","word","action_words",0.04,0.05,0.14,0.2,0.2,0.3,0.42,0.51,0.56,0.62,0.72,0.7,0.85,0.74,0.86
466,"rip","word","action_words",0,0.01,0.01,0.04,0.03,0.05,0.06,0.13,0.13,0.17,0.25,0.29,0.4,0.36,0.45
467,"run","word","action_words",0.03,0.06,0.14,0.2,0.26,0.32,0.5,0.53,0.62,0.69,0.71,0.71,0.86,0.8,0.93
468,"say","word","action_words",0.02,0.04,0.07,0.09,0.09,0.11,0.22,0.24,0.32,0.4,0.45,0.49,0.65,0.59,0.73
469,"see","word","action_words",0.11,0.12,0.23,0.3,0.28,0.4,0.5,0.59,0.64,0.73,0.79,0.74,0.87,0.82,0.88
470,"shake","word","action_words",0.01,0.04,0.07,0.12,0.13,0.16,0.25,0.29,0.36,0.36,0.49,0.45,0.63,0.56,0.67
471,"share","word","action_words",0.01,0.01,0.05,0.09,0.11,0.17,0.28,0.3,0.37,0.47,0.48,0.57,0.71,0.63,0.79
472,"show","word","action_words",0.01,0.01,0.04,0.05,0.08,0.12,0.19,0.29,0.31,0.4,0.45,0.46,0.64,0.61,0.76
473,"sing","word","action_words",0.03,0.05,0.11,0.15,0.22,0.26,0.41,0.44,0.55,0.61,0.67,0.66,0.83,0.75,0.88
474,"sit","word","action_words",0.11,0.16,0.29,0.38,0.39,0.47,0.59,0.69,0.7,0.76,0.75,0.78,0.91,0.8,0.92
475,"skate","word","action_words",0,0,0.01,0.03,0.03,0.08,0.08,0.09,0.15,0.17,0.25,0.27,0.42,0.37,0.44
476,"sleep","word","action_words",0.05,0.09,0.17,0.27,0.32,0.38,0.51,0.62,0.64,0.74,0.77,0.8,0.91,0.84,0.92
477,"slide (action)","word","action_words",0.05,0.07,0.14,0.22,0.26,0.3,0.42,0.46,0.56,0.62,0.65,0.66,0.81,0.72,0.86
478,"smile","word","action_words",0.01,0.02,0.05,0.1,0.11,0.16,0.22,0.31,0.35,0.45,0.45,0.5,0.67,0.65,0.73
479,"spill","word","action_words",0.01,0.01,0.04,0.08,0.12,0.17,0.24,0.31,0.33,0.43,0.55,0.51,0.71,0.67,0.81
480,"splash","word","action_words",0.05,0.05,0.11,0.16,0.17,0.25,0.31,0.4,0.46,0.5,0.55,0.56,0.75,0.7,0.84
481,"stand","word","action_words",0.01,0.02,0.06,0.08,0.13,0.2,0.28,0.35,0.37,0.45,0.57,0.54,0.71,0.67,0.77
482,"stay","word","action_words",0.01,0.02,0.06,0.08,0.11,0.12,0.26,0.36,0.38,0.43,0.55,0.55,0.72,0.64,0.76
483,"stop","word","action_words",0.09,0.14,0.2,0.26,0.33,0.42,0.54,0.61,0.66,0.74,0.78,0.75,0.91,0.84,0.91
484,"sweep","word","action_words",0.02,0.03,0.07,0.12,0.14,0.22,0.28,0.33,0.38,0.46,0.48,0.5,0.71,0.65,0.75
485,"swim","word","action_words",0.03,0.07,0.14,0.19,0.19,0.27,0.38,0.48,0.52,0.61,0.64,0.63,0.8,0.75,0.87
486,"swing (action)","word","action_words",0.1,0.11,0.21,0.33,0.31,0.38,0.55,0.59,0.63,0.68,0.74,0.71,0.86,0.81,0.89
487,"take","word","action_words",0.01,0.01,0.04,0.08,0.08,0.12,0.24,0.32,0.32,0.41,0.5,0.5,0.69,0.65,0.75
488,"talk","word","action_words",0.01,0.03,0.08,0.1,0.12,0.13,0.26,0.35,0.4,0.46,0.54,0.58,0.75,0.72,0.81
489,"taste","word","action_words",0.01,0,0.04,0.06,0.07,0.1,0.2,0.23,0.27,0.31,0.41,0.44,0.61,0.55,0.65
490,"tear","word","action_words",0,0.01,0.02,0.02,0.05,0.06,0.08,0.12,0.19,0.23,0.24,0.33,0.44,0.46,0.54
491,"think","word","action_words",0,0,0.02,0.01,0.03,0.04,0.08,0.09,0.13,0.18,0.22,0.26,0.43,0.37,0.51
492,"throw","word","action_words",0.04,0.06,0.14,0.16,0.19,0.23,0.38,0.48,0.54,0.62,0.65,0.69,0.83,0.76,0.88
493,"tickle","word","action_words",0.12,0.14,0.27,0.24,0.3,0.3,0.48,0.55,0.6,0.66,0.67,0.7,0.86,0.75,0.86
494,"touch","word","action_words",0.03,0.02,0.1,0.12,0.16,0.16,0.26,0.33,0.4,0.48,0.55,0.57,0.75,0.67,0.83
495,"wait","word","action_words",0.01,0.03,0.07,0.1,0.14,0.18,0.27,0.34,0.38,0.45,0.5,0.55,0.72,0.65,0.77
496,"wake","word","action_words",0.01,0.01,0.04,0.06,0.1,0.13,0.23,0.25,0.34,0.44,0.49,0.53,0.7,0.63,0.77
497,"walk","word","action_words",0.08,0.12,0.26,0.34,0.31,0.42,0.56,0.61,0.67,0.72,0.72,0.75,0.89,0.79,0.91
498,"wash","word","action_words",0.05,0.06,0.15,0.22,0.29,0.33,0.48,0.52,0.61,0.66,0.69,0.65,0.88,0.73,0.89
499,"watch (action)","word","action_words",0.02,0.03,0.07,0.12,0.16,0.18,0.32,0.37,0.41,0.47,0.52,0.6,0.75,0.7,0.82
500,"wipe","word","action_words",0.03,0.02,0.1,0.12,0.17,0.23,0.36,0.36,0.45,0.5,0.49,0.57,0.73,0.71,0.78
